Showing outdated packages.
[*] indicates versions that are not the latest available.

Package Name                                    Current       Upgradable    Resolvable    Latest        
riverpod_analyzer_utils                         *1.0.0-dev.8  *1.0.0-dev.9  *1.0.0-dev.9  1.0.0-dev.10  
rx                                              *0.4.0        *0.4.0        *0.4.0        0.5.0         
source_gen                                      *4.2.0        4.2.3         4.2.3         4.2.3         
source_helper                                   *1.3.8        1.3.12        1.3.12        1.3.12        

67 upgradable dependencies are locked (in pubspec.lock) to older versions.
To update these dependencies, use `flutter pub upgrade`.

41  dependencies are constrained to versions that are older than a resolvable version.
To update these dependencies, edit pubspec.yaml, or run `flutter pub upgrade --major-versions`.
